Start Time (UTC), Stop Time (UTC)
2014-07-11T06:31:37.197632 UTC, 2014-07-11T07:05:34.197632 UTC
2014-07-11T08:08:13.197632 UTC, 2014-07-11T08:42:10.197632 UTC
2014-07-11T09:44:50.091456 UTC, 2014-07-11T10:18:47.091456 UTC
2014-07-11T11:21:26.091456 UTC, 2014-07-11T11:55:23.091456 UTC
2014-07-11T12:58:02.091456 UTC, 2014-07-11T13:31:59.091456 UTC
2014-07-11T14:34:39.091456 UTC, 2014-07-11T15:08:36.091456 UTC
2014-07-11T16:11:15.091456 UTC, 2014-07-11T16:45:12.091456 UTC
2014-07-11T17:47:51.979231 UTC, 2014-07-11T18:21:48.979231 UTC
2014-07-11T19:24:27.979231 UTC, 2014-07-11T19:58:24.979231 UTC
2014-07-11T21:01:04.979231 UTC, 2014-07-11T21:35:01.979231 UTC
2014-07-11T22:37:40.979231 UTC, 2014-07-11T23:11:37.979231 UTC
2014-07-12T00:14:17.979231 UTC, 2014-07-12T00:48:14.979231 UTC
2014-07-12T01:50:53.835040 UTC, 2014-07-12T02:24:50.835040 UTC
2014-07-12T03:27:29.835040 UTC, 2014-07-12T04:01:26.835040 UTC
2014-07-12T05:04:06.835040 UTC, 2014-07-12T05:38:03.835040 UTC
2014-07-12T06:40:42.835040 UTC, 2014-07-12T07:14:39.835040 UTC
2014-07-12T08:17:18.835040 UTC, 2014-07-12T08:51:15.835040 UTC
2014-07-12T09:53:55.605312 UTC, 2014-07-12T10:27:52.605312 UTC
2014-07-12T11:30:31.605312 UTC, 2014-07-12T12:04:28.605312 UTC
2014-07-12T13:07:08.605312 UTC, 2014-07-12T13:41:05.605312 UTC
